X,"code","glottocode"
1102,"esq","esse1238"
1103,"ess","cent2128"
1104,"est",NA
1105,"esu","cent2127"
1106,"etr","edol1239"
1107,"ets","yekh1238"
1108,"evn","even1259"
1109,"eya","eyak1241"
1110,"faa","fasu1242"
1111,"fap","palo1243"
1112,"fcs","queb1245"
1113,"fla","kali1308"
1114,"foi","foii1241"
1115,"for","fore1270"
1116,"fos","sira1267"
1117,"fqs","fass1245"
1118,"frd","ford1242"
1119,"frr","nort2626"
1120,"frs","nort2628"
1121,"fse","finn1310"
1122,"fsl","fren1243"
1123,"fud","east2447"
1124,"fun","fuln1247"
1125,"fut","futu1245"
1126,"fuu","furu1242"
1127,"fuv","nige1253"
1128,"fvr","furr1244"
1129,"fwa","fwai1237"
1130,"gae","guar1293"
1131,"gag","gaga1249"
1132,"gah","alek1238"
1133,"gax","bora1271"
1134,"gay","gayo1244"
1135,"gaz","west2721"
1136,"gbb","kayt1238"
1137,"gbc","garr1260"
1138,"gbd","kara1476"
1139,"gbi","gale1259"
1140,"gbr","gbag1258"
1141,"gbu","gaga1251"
1142,"gcc","mali1284"
1143,"gcd","gang1267"
1144,"gcf","guad1242"
1145,"gcr","guia1246"
1146,"gdf","gudu1252"
1147,"gdo","ghod1238"
1148,"gdq","mehr1241"
1149,"geb","kire1240"
1150,"ged","gade1242"
1151,"gey","enya1247"
1152,"gfk","patp1243"
1153,"ggd","guga1239"
1154,"gge","gura1252"
1155,"ggo",NA
1156,"ggw","gogo1265"
1157,"ghl","ghul1238"
1158,"ghs","guhu1244"
1159,"gia","kitj1240"
1160,"gid","gida1247"
1161,"gil","gilb1244"
1162,"gin","hinu1240"
1163,"gio","gela1261"
1164,"gis","nort3047"
1165,"gkn","goka1239"
1166,"gld","nana1257"
1167,"glj","gula1265"
1168,"glk","gila1241"
1169,"glu","gula1269"
1170,"glv","manx1243"
1171,"gmm","gbay1281"
1172,"gmo","gamo1244"
1173,"gni","goon1238"
1174,"gnn","guma1253"
1175,"gnr","gure1255"
1176,"goa","guro1248"
1177,"gob","play1240"
1178,"gol","gola1255"
1179,"gor","goro1259"
1180,"gow","goro1270"
1181,"gpn","taia1239"
1182,"gqa","gaan1243"
1183,"grj","sout2826"
1184,"gru","kist1241"
1185,"gsg","germ1281"
1186,"gss","gree1271"
1187,"gta","guat1253"
1188,"gub","guaj1255"
1189,"gue","guri1247"
1190,"guf","gupa1247"
1191,"guh","guah1255"
1192,"gui","east2555"
1193,"guk","gumu1244"
1194,"gum","guam1248"
1195,"guo","guay1257"
1196,"gup","gunw1252"
1197,"guq","ache1246"
1198,"guz","gusi1247"
1199,"gva","guan1268"
1200,"gvc","guan1269"
1201,"gvf","goli1247"
1202,"gvn","kuku1273"
1203,"gvo","gavi1246"
1204,"gvr","guru1261"
1205,"gvs","guma1254"
1206,"gwc","kala1373"
1207,"gwd","gaww1239"
1208,"gwi","gwic1235"
1209,"gww","kwin1241"
1210,"gxx","weso1238"
1211,"gyb","garu1246"
1212,"gyd","kaya1319"
1213,"gym","ngab1239"
1214,"gyy","guny1241"
1215,"hac","gura1251"
1216,"had","hata1243"
1217,"hae","east2652"
1218,"hal","hala1252"
1219,"har","hara1271"
1220,"has","hais1244"
1221,"hay","haya1250"
1222,"hbb","huba1236"
1223,"hch","huic1243"
1224,"heh","hehe1240"
1225,"hei","heil1246"
1226,"hem","hemb1242"
1227,"her","here1253"
1228,"hia","lama1288"
1229,"hid","hida1246"
1230,"hil","hili1240"
1231,"hke","hund1239"
1232,"hla","hali1244"
1233,"hmr","hmar1241"
1234,"hmt","hamt1247"
1235,"hna","mina1276"
1236,"hnh","anii1246"
1237,"hni","hani1248"
1238,"hnj","hmon1264"
1239,"hnn","hanu1241"
1240,"hoa","hoav1238"
1241,"hoo","holo1240"
1242,"hre","hree1244"
1243,"hsb","uppe1395"
1244,"hsf","huas1256"
1245,"hss","hars1241"
1246,"hto","mini1256"
1247,"hts","hadz1240"
1248,"hub","huam1247"
1249,"huq","tsat1238"
1250,"hur","halk1245"
1251,"huu","muru1274"
1252,"huv","sanm1287"
1253,"hux","nupo1240"
1254,"huz","hunz1247"
1255,"hvn","sabu1255"
1256,"hwc","hawa1247"
1257,"ian","iatm1242"
1258,"iba","iban1264"
1259,"ibd","iwai1244"
1260,"ibg","iban1267"
1261,"icl","icel1236"
1262,"idu","idom1241"
1263,"ifb","bata1298"
1264,"ifm","teke1274"
1265,"iii","sich1238"
1266,"ijc","izon1238"
1267,"ike","east2534"
1268,"ikt","west2618"
1269,"ikx","ikkk1242"
1270,"ilb","ilaa1246"
1271,"imi","anam1248"
1272,"imn","imon1245"
1273,"inb","inga1252"
1274,"ing","dege1248"
1275,"inh","ingu1240"
1276,"ins","indi1237"
1277,"inz","ines1240"
1278,"iow","iowa1245"
1279,"iqu","iqui1243"
1280,"irh","irar1238"
1281,"irn","iran1263"
1282,"isd","isna1241"
1283,"ise","ital1275"
1284,"isg","iris1235"
1285,"isi","nkem1242"
1286,"iso","isok1239"
1287,"isr","isra1236"
1288,"itl","itel1242"
1289,"its","isek1239"
1290,"itv","itaw1240"
1291,"itz","itza1241"
1292,"ivv","ivat1242"
1293,"iwm","iwam1256"
1294,"ixc","ixca1245"
1295,"ixl","ixil1251"
1296,"izh","ingr1248"
1297,"jae","yabe1254"
1298,"jai","jaka1246"
1299,"jao","yany1243"
1300,"jaq","yaqa1246"
1301,"jar","jara1263"
1302,"jbj","aran1237"
1303,"jbt","djeo1235"
1304,"jbu","juku1254"
1305,"jeb","jebe1250"
1306,"jeh","jehh1245"
1307,"jei","yeii1239"
1308,"jel","yelm1242"
1309,"jet","mane1266"
1310,"jhi","jeha1242"
1311,"jic","toll1241"
1312,"jiu","youl1235"
1313,"jle","ngil1242"
1314,"jmd","yamd1240"
1315,"jna","jang1254"
1316,"jnj","yems1235"
1317,"jqr","jaqa1244"
1318,"jru","japr1238"
1319,"jsl","japa1238"
1320,"jua","juma1249"
1321,"juc","jurc1239"
1322,"jup","hupd1244"
1323,"jur","juru1256"
1324,"jya","jiar1240"
1325,"kaa","kara1467"
1326,"kab","kaby1243"
1327,"kac","kach1280"
1328,"kah","kara1482"
1329,"kam","kamb1297"
1330,"kao","xaas1235"
1331,"kap","bezh1248"
1332,"kaq","capa1241"
1333,"kay","kama1373"
1334,"kaz","kaza1248"
1335,"kbc","kadi1248"
1336,"kbh","cams1241"
1337,"kbk","gras1249"
1338,"kbl","kane1243"
1339,"kbq","kama1370"
1340,"kbr","kafa1242"
1341,"kbv","dera1245"
1342,"kbx","apma1241"
1343,"kcd","ngka1235"
1344,"kcg","tyap1238"
1345,"kck","kala1384"
1346,"kcl","kela1255"
1347,"kcn","nubi1253"
1348,"kcr","katl1237"
1349,"kct","kaia1245"
1350,"kcu","kami1256"
1351,"kcv","kete1252"
1352,"kdd","yank1247"
1353,"kde","mako1251"
1354,"kdj","kara1483"
1355,"kdm","kago1247"
1356,"kdr","kara1464"
1357,"kee","east1472"
1358,"kei","keii1239"
1359,"ker","kera1255"
1360,"kex","kukn1238"
1361,"kfk","kinn1249"
1362,"kfz","koro1298"
1363,"kge","kome1238"
1364,"kgj","gama1251"
1365,"kgk","kaiw1246"
1366,"kgo","kron1241"
1367,"kgp","kain1272"
1368,"kgq","kamo1255"
1369,"kgr","abun1252"
1370,"kgs","kumb1268"
1371,"kgy","kyer1238"
1372,"khb","luuu1242"
1373,"khd","badi1247"
1374,"khe","koro1312"
1375,"khg","kham1282"
1376,"khv","khva1239"
1377,"khw","khow1242"
1378,"kia","kimm1246"
1379,"kic","kick1244"
1380,"kig","kima1246"
1381,"kii","kits1249"
1382,"kij","kili1267"
1383,"kim","kara1462"
1384,"kin","kiny1244"
1385,"kio","kiow1266"
1386,"kiw","nort2930"
1387,"kiy","kiri1256"
1388,"kjc","coas1295"
1389,"kje","kisa1266"
1390,"kjg","khmu1256"
1391,"kjh","khak1248"
1392,"kjj","khin1240"
1393,"kjp","pwoe1235"
1394,"kjq","west2632"
1395,"kjs","east2516"
1396,"kkh","khun1259"
1397,"kki","kagu1239"
1398,"kkk","koko1269"
1399,"kkl","kosa1249"
1400,"kkw","teke1280"
1401,"kky","gugu1255"
1402,"kla","klam1254"
1403,"klb","kili1268"
1404,"kld","gami1243"
1405,"kle","kulu1253"
1406,"klj","turk1303"
1407,"kln","kale1246"
1408,"klq","rumu1243"
1409,"klr","khal1275"
1410,"kls","kala1372"
1411,"klu","klao1243"
1412,"kmg","kate1253"
1413,"kmh","kala1397"
1414,"kmj","kuma1274"
1415,"kmn","awtu1239"
1416,"kmr","nort2641"
1417,"kms","kama1367"
1418,"kmt","kemt1242"
1419,"kmz","khor1269"
1420,"kna","dera1248"
1421,"kne","kank1243"
1422,"kng","koon1244"
1423,"knj","west2635"
1424,"knk","kura1250"
1425,"knm","kana1291"
1426,"knw","kung1261"
1427,"kny","kany1247"
1428,"koe","kaci1244"
1429,"kog","cogu1240"
1430,"koi","komi1269"
1431,"kos","kosr1238"
1432,"kot","lagw1237"
1433,"koy","koyu1237"
1434,"kpc","curr1243"
1435,"kpg","kapi1249"
1436,"kpj","kara1500"
1437,"kpk","kpan1246"
1438,"kpm","koho1244"
1439,"kpo","ikpo1238"
1440,"kpr","kora1294"
1441,"kps","tehi1237"
1442,"kpt","kara1474"
1443,"kpw","kobo1249"
1444,"kpx","moun1252"
1445,"kpy","kory1246"
1446,"kpz","kups1238"
1447,"kqi","koit1244"
1448,"kqq","kren1239"
1449,"kqy","koor1239"
1450,"kqz","kora1292"
1451,"kre","pana1307"
1452,"krk","kere1280"
1453,"krl","kare1335"
1454,"kry","kryt1240"
1455,"ksb","sham1280"
1456,"ksd","kuan1248"
1457,"ksf","bafi1243"
1458,"ksh","kols1241"
1459,"ksi","kris1246"
1460,"ksq","kwaa1269"
1461,"kss","sout2778"
1462,"kst","winy1241"
1463,"ksx","keda1252"
1464,"ktd","koka1244"
1465,"ktg","kalk1246"
1466,"ktn","kari1311"
1467,"ktu","kitu1246"
1468,"ktv","east1236"
1469,"ktw","kato1244"
1470,"ktz","juho1239"
1471,"kue","kuma1280"
1472,"kui","kuik1246"
1473,"kum","kumy1244"
1474,"kun","kuna1268"
1475,"kuq","kari1317"
1476,"kut","kute1249"
1477,"kuu","uppe1438"
1478,"kuy","kuuk1238"
1479,"kuz","kunz1244"
1480,"kva","bagv1239"
1481,"kvd","kuii1253"
1482,"kvg","kuni1265"
1483,"kvk","kore1273"
1484,"kvn","bord1248"
1485,"kvo","dobe1238"
1486,"kvv","kola1285"
1487,"kvw","wers1238"
1488,"kwa","daww1239"
1489,"kwd","kwai1243"
1490,"kwe","nucl1595"
1491,"kwi","awac1239"
1492,"kwn","kwan1273"
1493,"kwo","nucl1593"
1494,"kwy","sans1272"
1495,"kxa","kair1263"
1496,"kyc","kyak1244"
1497,"kyj","kara1487"
1498,"kyl","kala1400"
1499,"kyq","keng1240"
1500,"kys","bara1370"
1501,"kyx","rapo1238"
1502,"kyz","kaya1329"
1503,"kzf","daak1235"
1504,"kzh","kenu1236"
1505,"kzi","kela1258"
1506,"kzj","coas1294"
1507,"kzw","kari1255"
1508,"lac","laca1243"
1509,"lad","ladi1251"
1510,"laf","lafo1243"
1511,"lag","lang1320"
1512,"lam","lamb1271"
1513,"lav","latv1249"
1514,"law","lauj1238"
1515,"laz","arib1241"
1516,"lbf","tina1246"
1517,"lbo","lave1248"
1518,"lbt","lach1248"
1519,"lbu","labu1248"
1520,"lby","lamu1254"
1521,"lbz","lard1243"
1522,"lch","luch1239"
1523,"lcm","tung1290"
1524,"lea","lega1249"
1525,"lec","leco1242"
1526,"lef","lele1264"
1527,"leg",NA
1528,"les","lese1243"
1529,"leu","kara1486"
1530,"lew","ledo1238"
1531,"lex","luan1263"
1532,"lez","lezg1247"
1533,"lgu","long1395"
1534,"lha","laha1250"
1535,"lhm","lhom1239"
1536,"lic","hlai1239"
1537,"lif","limb1266"
1538,"lij","ligu1248"
1539,"lis","lisu1250"
1540,"liv","livv1244"
1541,"liy","band1344"
1542,"ljp","lamp1243"
1543,"lkr","pari1256"
1544,"lld","ladi1250"
1545,"llp","nort2836"
1546,"llu","lauu1247"
1547,"lmc","nucl1327"
1548,"lme","peve1243"
1549,"lml","hano1246"
1550,"lmu","lame1260"
1551,"lmw","lake1258"
1552,"lnb","mbal1255"
1553,"lnd","lund1271"
1554,"lnj","leni1238"
1555,"lob","lobi1245"
1556,"log","logo1259"
1557,"loj","louu1245"
1558,"lol","mong1338"
1559,"los","loni1238"
1560,"loy","lowa1242"
1561,"loz","lozi1239"
1562,"lrc","nort2645"
1563,"lrg","lara1258"
1564,"lti","leti1246"
1565,"ltz","luxe1241"
1566,"lua","luba1249"
1567,"lub","luba1250"
1568,"lun","lund1266"
1569,"lut","lush1252"
1570,"luy",NA
1571,"lvk","lavu1241"
1572,"lwo","luwo1239"
1573,"lww","lewo1242"
1574,"lzz","lazz1240"
1575,"mad","nucl1460"
1576,"mag","maga1260"
1577,"mak","maka1311"
1578,"mau","huau1238"
1579,"mbb","west2555"
1580,"mbc","macu1259"
1581,"mbe","mola1238"
1582,"mbj","nade1244"
1583,"mbl","maxa1247"
1584,"mbn","maca1259"
1585,"mbp","mala1522"
1586,"mbq","mais1250"
1587,"mbr","nuka1242"
1588,"mbt","mati1250"
1589,"mbw","mari1435"
1590,"mca","maca1260"
1591,"mcb","mach1267"
1592,"mcd","shar1245"
1593,"mcf","mats1244"
1594,"mcg","mapo1246"
1595,"mch","maqu1238"
1596,"mcm","mala1533"
1597,"mcn","masa1322"
1598,"mco","coat1238"
1599,"mcr","meny1245"
1600,"mcs","mamb1294"
1601,"mda","mada1282"
1602,"mdd","mbum1254"
1603,"mde","maba1277"
1604,"mdf","moks1248"
1605,"mdh","magu1243"
1606,"mdi","mamv1243"
1607,"mdm","mayo1261"
1608,"mdq","mbol1247"
1609,"mdr","mand1442"
1610,"mdt","mber1257"
1611,"mdw","mbos1242"
1612,"mdx","dizi1235"
1613,"mdy","male1284"
1614,"mec","mara1385"
1615,"mei","mido1240"
1616,"mej","meya1236"
1617,"mek","meke1243"
1618,"mel","cent2101"
1619,"mep","miri1266"
1620,"meu","motu1246"
1621,"mev","mann1248"
1622,"mey","hass1238"
1623,"mez","meno1252"
1624,"mfc","mbaa1245"
1625,"mfe","mori1278"
1626,"mfi","wand1278"
1627,"mfr","mari1424"
1628,"mfv","mand1419"
1629,"mfy","mayo1264"
1630,"mgd","moru1253"
1631,"mge","mang1398"
1632,"mgf","makl1246"
1633,"mgh","makh1261"
1634,"mgl","male1289"
1635,"mgp","east2352"
1636,"mgr","mamb1296"
1637,"mgu","mail1248"
1638,"mgw","matu1259"
1639,"mhd","mbug1240"
1640,"mhe","besi1244"
1641,"mhj","mogh1245"
1642,"mhk","mung1266"
1643,"mhq","mand1446"
1644,"mhs","buru1303"
1645,"mhu","diga1241"
1646,"mhv","arak1256"
1647,"mhx","maru1249"
1648,"mhy","maan1238"
1649,"mhz","morm1235"
1650,"mia","miam1252"
1651,"mib","atat1238"
1652,"mic","mikm1235"
1653,"mid","nucl1706"
1654,"mie","ocot1243"
1655,"mih","chay1249"
1656,"mik","mika1239"
1657,"mil","peno1244"
1658,"mim","alac1244"
1659,"min","mina1268"
1660,"mio","pino1237"
1661,"miq","misk1235"
1662,"miy","ayut1236"
1663,"miz","coat1241"
1664,"mjc","sanj1281"
1665,"mjd","nort2951"
1666,"mjg","huzh1238"
1667,"mji","kimm1245"
1668,"mjk","matu1261"
1669,"mkd","mace1250"
1670,"mke","mawc1242"
1671,"mkj","moki1238"
1672,"mks","sila1250"
1673,"mky","east2440"
1674,"mkz","maka1316"
1675,"mla","malo1243"
1676,"mle","mana1298"
1677,"mlm","mula1253"
1678,"mlp","barg1252"
1679,"mlu","toab1237"
1680,"mlv","motl1237"
1681,"mme","maee1241"
1682,"mmn","mama1275"
1683,"mms","mams1234"
1684,"mmy","miga1249"
1685,"mna","mbul1263"
1686,"mnb","muna1247"
1687,"mnc","manc1252"
1688,"mng","east2333"
1689,"mnk","mand1436"
1690,"mnr","mono1275"
1691,"mns","mans1258"
1692,"mnv","renn1242"
1693,"mnw","monn1252"
1694,"mnx","mani1235"
1695,"mnz","moni1261"
1696,"moc","moco1246"
1697,"moe","mont1268"
1698,"mof","mohe1244"
1699,"mog","mong1342"
1700,"moh","moha1258"
1701,"moj","monz1249"
1702,"mok","moro1289"
1703,"mop","mopa1243"
1704,"mor","moro1285"
1705,"mot","bari1297"
1706,"mov","moha1256"
1707,"moy","shek1244"
1708,"moz","muku1242"
1709,"mpb","mull1237"
1710,"mpc","mang1381"
1711,"mpe","maja1242"
1712,"mpj","mart1256"
1713,"mpk","mbar1260"
1714,"mpm","yoso1239"
1715,"mpq","mati1255"
1716,"mps","dadi1250"
1717,"mpt","mian1256"
1718,"mqf","momu1241"
1719,"mqj","mama1276"
1720,"mqs","west2600"
1721,"mqy","mang1405"
1722,"mra","mlab1235"
1723,"mrc","mari1440"
1724,"mrd","west2418"
1725,"mrf","else1239"
1726,"mrh","mara1382"
1727,"mrj","west2392"
1728,"mrn","chek1238"
1729,"mrq","nort2845"
1730,"mrw","mara1404"
1731,"mrz","nucl1622"
1732,"msj","made1252"
1733,"mso","nucl1452"
1734,"msu","muso1238"
1735,"msy","arua1260"
1736,"mte","mono1273"
1737,"mtf","muri1260"
1738,"mtg","unaa1239"
1739,"mtk","mbee1250"
1740,"mto","toto1305"
1741,"mtq","muon1246"
1742,"mua","mund1325"
1743,"mug","musg1254"
1744,"mus","cree1270"
1745,"muz","murs1242"
1746,"mva","mana1295"
1747,"mvb","matt1238"
1748,"mvc","mamc1234"
1749,"mvf","peri1253"
1750,"mvn","mina1269"
1751,"mwd",NA
1752,"mwe","mwer1248"
1753,"mwf","murr1258"
1754,"mwp","kala1377"
1755,"mwv","ment1249"
1756,"mww","hmon1333"
1757,"mxe","mele1250"
1758,"mxk","nucl1458"
1759,"mxp","tlah1239"
1760,"mxt","jami1235"
1761,"mxx","maho1249"
1762,"myb","mbay1241"
1763,"mye","myen1241"
1764,"myh","maka1318"
1765,"mym","meen1242"
1766,"myp","pira1253"
1767,"myu","mund1330"
1768,"myv","erzy1239"
1769,"myw","muyu1244"
1770,"myy","macu1260"
1771,"mzb","tumz1238"
1772,"mzh","wich1264"
1773,"mzm","nucl1240"
1774,"mzn","maza1291"
1775,"mzp","movi1243"
1776,"nab","sout2994"
1777,"nad","nija1242"
1778,"naf","naba1256"
1779,"nag","naga1394"
1780,"nak","naka1262"
1781,"nal","nali1244"
1782,"nam","nang1259"
1783,"nau","naur1243"
1784,"nay","narr1259"
1785,"nbc","chan1313"
1786,"nbf","naxi1246"
1787,"nbj","ngar1235"
1788,"nbl","sout3270"
1789,"nbm","ngba1284"
1790,"nbw","sout2784"
1791,"nbx","ngur1261"
1792,"nce","yale1246"
1793,"ncg","nisg1240"
1794,"ncj","nort2957"
1795,"nck","naka1260"
1796,"ncl","mich1245"
1797,"ncz","natc1249"
1798,"ndi","samb1305"
1799,"ndo","ndon1254"
1800,"nds","nort2627"
1801,"ndt","ndun1249"
1802,"ndz","ndog1248"
1803,"nee","kuma1276"
1804,"neg","negi1245"
1805,"nen","neng1238"
1806,"new","newa1246"
1807,"ney","neyo1238"
1808,"nfl","ayiw1239"
1809,"ngc","ngom1268"
1810,"nge","ngem1255"
1811,"ngi","ngiz1242"
1812,"ngk","ngal1292"
1813,"ngo",NA
1814,"ngu","guer1241"
1815,"nhg","tete1251"
1816,"nhn","cent2132"
1817,"nhp","isth1241"
1818,"nhr","naro1249"
1819,"nhu","noon1243"
1820,"nhw","west2624"
1821,"nhx","isth1242"
1822,"nia","nias1242"
1823,"nid","ngan1295"
1824,"nie","niel1243"
1825,"nig","ngal1293"
1826,"nih","nyih1240"
1827,"nij","ngaj1237"
1828,"nio","ngan1291"
1829,"nir","nucl1633"
1830,"niy","ngit1239"
1831,"niz","ning1273"
1832,"njb","noct1238"
1833,"nju","ngad1258"
1834,"nkf","inpu1234"
1835,"nko","nkon1248"
1836,"nkr","nuku1260"
1837,"nlg","gela1263"
1838,"nll","niha1238"
1839,"nlr","ngar1286"
1840,"nly","nyam1271"
1841,"nmb","bign1238"
1842,"nmd","ndum1239"
1843,"nmg","kwas1243"
1844,"nmm","mana1288"
1845,"nmn","huaa1248"
1846,"nni","nort2867"
1847,"nnk","nank1250"
1848,"nnm","nami1256"
1849,"nnt","nant1249"
1850,"noa","woun1238"
1851,"nog","noga1249"
1852,"not","noma1263"
1853,"now","nyam1277"
1854,"npa","narp1239"
1855,"npy","napu1241"
1856,"nrb","nara1262"
1857,"nrl","ngar1287"
1858,"nrm","naro1251"
1859,"nrz","lala1268"
1860,"nse","nsen1242"
1861,"nsk","nask1242"
1862,"nsl","norw1255"
1863,"nsn","neha1247"
1864,"nso","pedi1238"
1865,"nsq","nort2968"
1866,"nsz","nise1244"
1867,"ntj","ngaa1240"
1868,"ntm","nate1242"
1869,"nto","ntom1248"
1870,"ntp","nort2959"
1871,"nuf","nusu1239"
1872,"num","niua1240"
1873,"nun","nung1282"
1874,"nus","nuer1246"
1875,"nut","nung1283"
1876,"nux","mehe1243"
1877,"nwi","sout2869"
1878,"nxg","ngad1261"
1879,"nxn","ngaw1240"
1880,"nyh","nyig1240"
1881,"nyi","amas1236"
1882,"nyj","nyan1304"
1883,"nym","nyam1276"
1884,"nyo","nyor1246"
1885,"nyp","nyan1313"
1886,"nys","nyun1247"
1887,"nyt","nyaw1247"
1888,"nyv","nyul1247"
1889,"nzk","nzak1247"
1890,"nzm","zeme1240"
1891,"nzs","newz1236"
1892,"oaa","orok1265"
1893,"oac","oroc1248"
1894,"ocu","atzi1235"
1895,"ogb","ogbi1239"
1896,"ogo","khan1278"
1897,"ogu","ogbr1243"
1898,"ojs","seve1240"
1899,"ojv","onto1237"
1900,"oka","okan1243"
1901,"oku","okuu1243"
1902,"okv","orok1269"
1903,"old","moch1256"
1904,"oma","omah1247"
1905,"omb","east2443"
1906,"omg","omag1248"
1907,"ona","onaa1245"
1908,"ong","oloo1241"
1909,"ono","onon1246"
1910,"ons","onoo1246"
1911,"oon","onge1236"
1912,"opm","oksa1245"
1913,"opt","opat1246"
1914,"ore","orej1242"
1915,"oro","orok1267"
1916,"ort","adiv1239"
1917,"oru","ormu1247"
1918,"osa","osag1243"
1919,"otm","east2556"
1920,"otq","quer1236"
1921,"otr","otor1240"
1922,"otz","ixte1237"
1923,"oua","taga1278"
1924,"owi","owin1240"
1925,"oyb","oyyy1238"
1926,"oym","waya1270"
1927,"pab","pare1272"
1928,"pac","paco1243"
1929,"pad","paum1247"
1930,"pag","pang1290"
1931,"pam","pamp1243"
1932,"pao","nort2954"
1933,"pap","papi1253"
1934,"par","pana1305"
1935,"pau","pala1344"
1936,"pav","wari1268"
1937,"paw","pawn1254"
1938,"pay","pech1241"
1939,"pbe","mezo1235"
1940,"pbf","coyo1236"
1941,"pbh","enap1235"
1942,"pbr","pang1287"
1943,"pbs","cent2145"
1944,"pcm","nige1257"
1945,"pdo","pado1242"
1946,"peb","east2545"
1947,"peh","bona1250"
1948,"pei","chic1272"
1949,"pej","nort2966"
1950,"pgu","pagu1249"
1951,"pia","pima1248"
1952,"pib","yine1238"
1953,"pid","piar1243"
1954,"pif","ping1243"
1955,"pim","powh1243"
1956,"pio","piap1246"
1957,"pip","pero1241"
1958,"pir","pira1254"
1959,"pit","pitt1247"
1960,"piu","pint1250"
1961,"piv","pile1238"
1962,"pjt","pitj1243"
1963,"pkn","paka1251"
1964,"pko","poko1263"
1965,"pks","paki1242"
1966,"plg","pila1245"
1967,"plh","paul1238"
1968,"plo","olut1240"
1969,"plu","pali1279"
1970,"pma","paam1238"
1971,"pmf","pamo1252"
1972,"pmi","nort2723"
1973,"pms","piem1238"
1974,"pmt","tuam1242"
1975,"pmw","plai1259"
1976,"png","pong1250"
1977,"pnw","pany1241"
1978,"poa","poqo1257"
1979,"pob","poqo1256"
1980,"poc","poqo1253"
1981,"poe","sanj1285"
1982,"poi","high1276"
1983,"pon","pohn1238"
1984,"poo","cent2138"
1985,"pos","sayu1241"
1986,"pot","pota1247"
1987,"pov","uppe1455"
1988,"pox","pola1255"
1989,"poy","pogo1243"
1990,"ppk","umaa1242"
1991,"ppl","pipi1250"
1992,"ppo","folo1238"
1993,"pqa","paaa1242"
1994,"pqm","male1292"
1995,"pre","prin1242"
1996,"prk","para1301"
1997,"prn","pras1239"
1998,"prs","dari1249"
1999,"prx","puri1258"
2000,"psa","asue1235"
2001,"psd","plai1235"
2002,"psr","port1277"
2003,"pss","kaul1240"
2004,"psw","port1285"
2005,"ptp","pate1247"
2006,"ptu","bamb1270"
2007,"pue","puel1244"
2008,"pui","puin1248"
2009,"puo","puoc1238"
2010,"puw","pulu1242"
2011,"pwa","pawa1255"
2012,"pwg","gapa1238"
2013,"pwn","paiw1248"
2014,"pww","pwon1235"
2015,"pym","fyam1238"
2016,"qug","chim1302"
2017,"qui","quil1240"
2018,"qum","sipa1247"
2019,"quy","ayac1239"
2020,"quz","cusc1236"
2021,"qvc","caja1238"
2022,"qvh","huam1248"
2023,"qvn","nort2980"
2024,"qxa","chiq1249"
2025,"rab","caml1239"
2026,"rad","rade1240"
2027,"ral","ralt1242"
2028,"ram","cane1242"
2029,"ran","rian1263"
2030,"rao","raoo1244"
2031,"rap","rapa1244"
2032,"ras","tega1236"
2033,"raw","rawa1265"
2034,"rbb","ruma1248"
2035,"rej","reja1240"
2036,"ren","reng1252"
2037,"rgr","resi1247"
2038,"rim","nyat1246"
2039,"rit","rita1239"
2040,"rji","raji1240"
2041,"rkb","rikb1245"
2042,"rma","rama1270"
2043,"rmb","remb1249"
2044,"rml","balt1257"
2045,"rmn","balk1252"
2046,"rmo","sint1235"
2047,"rmt","doma1258"
2048,"rmw","wels1246"
2049,"rmy","vlax1238"
2050,"rng","rong1268"
2051,"rnp","rong1264"
2052,"rog","nort2994"
2053,"roh","roma1326"
2054,"roo","roto1249"
2055,"rop","krio1252"
2056,"rou","rung1258"
2057,"rro","waim1251"
2058,"rsl","russ1255"
2059,"rth","rata1244"
2060,"rtm","rotu1241"
2061,"rug","rovi1238"
2062,"run","rund1242"
2063,"rut","rutu1240"
2064,"rwa","rawo1244"
2065,"rwo","rawa1267"
2066,"sab","bugl1243"
2067,"sac","mesk1242"
2068,"saj","sahu1245"
2069,"sbc","kele1258"
2070,"sbe","sali1295"
2071,"sbf","shab1252"
2072,"sbs","subi1246"
2073,"sbu","stod1241"
2074,"sce","dong1285"
2075,"scs","nort2942"
2076,"sda","tora1261"
2077,"sdg","savi1242"
2078,"sdm","sema1269"
2079,"sdo","buka1257"
2080,"sdp","sher1257"
2081,"sea","sema1266"
2082,"sef","ceba1235"
2083,"seh","nucl1396"
2084,"sei","seri1257"
2085,"sel","selk1253"
2086,"sen","nane1238"
2087,"ser","serr1255"
2088,"sey","seco1241"
2089,"sgh","shug1248"
2090,"sgl","sang1343"
2091,"sgw","seba1251"
2092,"sgz","surs1246"
2093,"shb","nina1238"
2094,"shg","shua1254"
2095,"shh","shos1248"
2096,"shi","tach1250"
2097,"shj","shat1244"
2098,"shk","shil1265"
2099,"shm","shah1254"
2100,"shp","ship1254"
2101,"shs","shus1248"
2102,"sht","shas1239"
2103,"shu","chad1249"
2104,"shv","sheh1240"
2105,"shy","tach1249"
2106,"sid","sida1246"
2107,"sif","siam1242"
2108,"sip","sikk1242"
2109,"sis","sius1254"
2110,"siw","siwa1245"
2111,"siz","siwi1239"
2112,"sja","epen1239"
2113,"sjd","kild1236"
2114,"sjg","assa1269"
2115,"sjr","siar1238"
2116,"sjw","shaw1249"
2117,"skb","saek1240"
2118,"skd","sout2985"
2119,"skf","saki1248"
